,FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,2010 Housing Units,2010 Median Gross Rent,2010 Percent Transit,2018 Housing Units,2018 Median Gross Rent,2018 Percent Transit,Change Housing Units,Change Median Rent,Change Percent Transit
158,06037554301,"Census Tract 5543.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5543.01, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554301,1095,1390.0,0.82,1083,1581.0,0.43,-0.010958904109589041,0.13741007194244603,-0.38999999999999996
159,06037554302,"Census Tract 5543.02, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5543.02, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554302,1281,1109.0,1.93,1249,1326.0,3.71,-0.02498048399687744,0.1956717763751127,1.78
160,06037554403,"Census Tract 5544.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5544.03, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554403,1826,1227.0,4.87,1828,1272.0,1.36,0.001095290251916758,0.03667481662591687,-3.51
161,06037554404,"Census Tract 5544.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5544.04, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554404,1472,1415.0,5.3,1449,1363.0,4.95,-0.015625,-0.03674911660777385,-0.34999999999999964
162,06037554405,"Census Tract 5544.05, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5544.05, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554405,1303,1079.0,3.99,1294,1213.0,0.94,-0.006907137375287797,0.12418906394810009,-3.0500000000000003
163,06037554406,"Census Tract 5544.06, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5544.06, Bellflower city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554406,1729,1481.0,4.93,1737,1302.0,1.58,0.004626951995373048,-0.12086428089128967,-3.3499999999999996
164,06037554511,"Census Tract 5545.11, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.11, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554511,1187,1986.0,2.46,1255,2246.0,2.64,0.05728727885425442,0.1309164149043303,0.18000000000000016
165,06037554512,"Census Tract 5545.12, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.12, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554512,1843,1025.0,2.81,2042,2544.0,5.17,0.1079761258817146,1.481951219512195,2.36
166,06037554513,"Census Tract 5545.13, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.13, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554513,805,2310.0,0.75,845,2353.0,2.31,0.049689440993788817,0.018614718614718615,1.56
167,06037554514,"Census Tract 5545.14, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.14, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554514,1405,2129.0,1.84,1509,2194.0,2.25,0.07402135231316725,0.030530765617660875,0.4099999999999999
168,06037554515,"Census Tract 5545.15, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.15, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554515,1116,2216.0,2.63,1181,2427.0,0.94,0.05824372759856631,0.09521660649819494,-1.69
169,06037554516,"Census Tract 5545.16, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.16, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554516,1156,2310.0,1.0,1228,3071.0,0.9,0.06228373702422145,0.3294372294372294,-0.09999999999999998
170,06037554517,"Census Tract 5545.17, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.17, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554517,1507,2133.0,2.01,1590,1991.0,3.84,0.055076310550763105,-0.06657290201593999,1.83
171,06037554518,"Census Tract 5545.18, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.18, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554518,1608,2310.0,4.33,1689,2521.0,2.48,0.05037313432835821,0.09134199134199134,-1.85
172,06037554519,"Census Tract 5545.19, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.19, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554519,1204,2310.0,3.1,1266,2750.0,2.71,0.05149501661129568,0.19047619047619047,-0.3900000000000001
173,06037554521,"Census Tract 5545.21, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.21, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554521,1879,1678.0,1.52,2069,1838.0,3.3,0.10111761575306014,0.09535160905840286,1.7799999999999998
174,06037554522,"Census Tract 5545.22, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5545.22, Cerritos city, Downey-Norwalk CCD, Los Angeles County, California",06,037,554522,1465,2310.0,1.69,1557,2604.0,1.06,0.06279863481228669,0.12727272727272726,-0.6299999999999999
177,06037502801,"Census Tract 5028.01 (part), Santa Fe Springs city, Whittier CCD, Los Angeles County, California","Census Tract 5028.01 (part), Santa Fe Springs city, Whittier CCD, Los Angeles County, California",06,037,502801,1653,1639.0,4.99,1776,1883.0,1.19,0.07441016333938294,0.14887126296522268,-3.8000000000000003
179,06037550300,"Census Tract 5503 (part), Norwalk city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5503 (part), Norwalk city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550300,2152,1418.0,1.81,2120,1639.0,4.7,-0.01486988847583643,0.15585331452750353,2.89
180,06037550400,"Census Tract 5504 (part), Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5504 (part), Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550400,415,1825.0,2.64,390,1225.0,1.03,-0.060240963855421686,-0.3287671232876712,-1.61
182,06037550500,"Census Tract 5505, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5505, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550500,2442,1430.0,3.35,2393,1624.0,0.0,-0.020065520065520065,0.13566433566433567,-3.35
183,06037550601,"Census Tract 5506.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5506.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550601,1759,1159.0,0.77,1747,1257.0,1.24,-0.006822057987492893,0.08455565142364108,0.47
184,06037550602,"Census Tract 5506.02, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5506.02, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550602,1274,1922.0,0.0,1265,2144.0,3.85,-0.00706436420722135,0.11550468262226847,3.85
185,06037550700,"Census Tract 5507, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5507, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550700,2064,1398.0,1.19,1963,1621.0,3.35,-0.04893410852713178,0.15951359084406294,2.16
186,06037550800,"Census Tract 5508, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5508, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550800,2262,1395.0,1.63,2217,1300.0,1.48,-0.01989389920424403,-0.06810035842293907,-0.1499999999999999
187,06037550901,"Census Tract 5509.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5509.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550901,1334,1304.0,0.61,1378,1311.0,3.7,0.03298350824587706,0.005368098159509203,3.0900000000000003
188,06037550902,"Census Tract 5509.02, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5509.02, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,550902,2005,1298.0,4.23,1914,1293.0,3.03,-0.045386533665835414,-0.003852080123266564,-1.2000000000000006
189,06037551000,"Census Tract 5510, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5510, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,551000,2286,1490.0,2.23,2287,1493.0,3.43,0.0004374453193350831,0.0020134228187919465,1.2000000000000002
190,06037551101,"Census Tract 5511.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California","Census Tract 5511.01, Downey city, Downey-Norwalk CCD, Los Angeles County, California",06,037,551101,1200,1333.0,1.25,1235,1163.0,4.21,0.029166666666666667,-0.1275318829707427,2.96
