station_data,,,,,,,,,,,,,,,
,LINE,LINENUM,LINENUM2,STNSEQ,STNSEQ2,DIR,STOPNUM,STATION,DATE OPENED,LAT,LONG,TPIS_NAME,POINT_X,POINT_Y,geometry
80,Gold,804,0,9,0,,80419,Lake Station,2003,34.151806,-118.13139,Lake,6521914.40815,1877653.24145,POINT (-118.13139 34.151806)
81,Gold,804,0,8,0,,80420,Allen Station,2003,34.152417,-118.114348,Allen,6527070.74357,1877869.29272,POINT (-118.114348 34.152417)
82,Gold,804,0,7,0,,80421,Sierra Madre Villa Station,2003,34.147752,-118.081212,Pasadena,6537094.64748,1876161.86207,POINT (-118.081212 34.147752)
83,EXPO,806,0,13,0,,80133,Palms Station,2016,34.029323,-118.404255,Palms,6439180.0,1833300.0,POINT (-118.404255 34.029323)
84,EXPO,806,0,14,0,,80134,Westwood / Rancho Park Station,2016,34.036816,-118.424576,Westwood,6433034.0,1836052.0,POINT (-118.424576 34.036816)
85,EXPO,806,0,15,0,,80135,Expo / Sepulveda Station,2016,34.035408,-118.434234,Sepulveda,6430106.0,1835552.0,POINT (-118.434234 34.035408)
86,EXPO,806,0,16,0,,80136,Expo / Bundy Station,2016,34.031705,-118.452896,Bundy,6424446.0,1834230.0,POINT (-118.452896 34.031705)
87,EXPO,806,0,17,0,,80137,26th St / Bergamot Station,2016,34.027995,-118.46912,26th/Berg,6419524.0,1832902.0,POINT (-118.46912 34.027995)
88,EXPO,806,0,18,0,,80138,17th St / SMC Station,2016,34.023155,-118.480372,17th/SMC,6416106.0,1831157.0,POINT (-118.480372 34.023155)
89,EXPO,806,0,19,0,,80139,Downtown Santa Monica Station,2016,34.01401,-118.491384,S Monica,6412753.0,1827845.0,POINT (-118.491384 34.01401)
90,Gold,804,0,6,0,,80422,Arcadia Station,2016,34.14286,-118.029199,Arcadia,6552832.0,1874373.0,POINT (-118.029199 34.14286)
91,Gold,804,0,5,0,,80423,Monrovia Station,2016,34.133155,-118.003473,Monrovia,6560616.0,1870840.0,POINT (-118.003473 34.133155)
92,Gold,804,0,4,0,,80424,Duarte / City of Hope Station,2016,34.132518,-117.96768,Duarte,6571447.0,1870610.0,POINT (-117.96768 34.132518)
93,Gold,804,0,3,0,,80425,Irwindale Station,2016,34.129048,-117.932506,Irwindale,6582093.0,1869352.0,POINT (-117.932506 34.129048)
94,Gold,804,0,2,0,,80426,Azusa Downtown Station,2016,34.135863,-117.906631,Azusa,6589921.0,1871838.0,POINT (-117.906631 34.135863)
95,Gold,804,0,1,0,,80427,APU / Citrus College Station,2016,34.136814,-117.891636,APU/Cit,6594458.0,1872189.0,POINT (-117.891636 34.136814)
